Codigo;Autor;Editorial;Titulo;Año;
L-3790;BARBOSA ROMERO, Reynaldo;;Introducción a la gerencia social: un enfoque en la administración de organizaciones;2002;
L-3791;DRUCKER, Peter F.;;<Las> cinco preguntas mas importantes que usted debe formularse sobre su organización sin fines de lucro: manual de autoevaluación de la Fundación Drucker para organizaciones sin fines de lucro;1997;
L-3792;BARRIOS SUVELZA, Franz;;<El> futuro de las ONG´s o las ONG´s del futuro: gestión de recursos, proyectos e intervenciones;1997;
L-3793;"CASANOVAS SAINZ, Roberto; GARCIA CHACON, Oscar A.";"ICCO; PROACTIVA; IDEPRO";<Las> ONG´s latinoamericanas y los desafios del desarrollo organizacional;1998;
L-3794;VALDEZ MONTERO, Abelardo;;Estudios matemáticos financieros y actuariales;1996;
L-3795;"GUERRERO CASAS, Flor María; VASQUEZ CUETO, María José";;Manual de algebra lineal para la economía y la empresa;1998;
L-3796;ZEGARRA A., Luis;;Algebra lineal;2001;
L-3797;WILLIAMS, Gareth;;Algebra lineal con aplicaciones;2002;
L-3798;"BARNETT, Raymond A.; ZIEGLER, Michael R.; BYLEEN, Karl E.";;Algebra;2000;
L-3799;RODRIGUEZ M., Dario;;Diagnóstico organizacional;1999;
L-379;MORALES A., Rolando;ILDIS;Estudio diagnóstico debate Bolivia. Efectos sociales de la crisis y de las políticas de ajuste;1987;
L-37;TANDETER, Enrique, WACHTEL, Natham;CERES;Precios y producción agraria. Potosí y Charcas en el siglo XVIII;;
L-3800;WALKER, D. W.;;Sistemas de información para la administración;1996;
L-3801;"AHUJA, Hira N.; WALSH, Michael A.";;Ingeniería de costos y administración de proyectos;1995;
L-3802;"SERPELL B.; Alfredo";;Administración de operaciones de construcción;2002;
L-3803;"BYARS, Lloyd L.; RUE, Leslie W.";;Administración: teoría y práctica;2000;
L-3804;"BONSON, Enrique; ESCOBAR, Tomás; SIERRA, Guillermo J.";;Estados financiero: aspectos teóricos y un sistema tutorial para su elaboración (Incluye disquete);1996;
L-3805;BEBCZUK, Ricardo N.;;Información asimétrica en mercados financieros;2000;
L-3806;ROJAS SUAREZ, Liliana;BANCO INTERAMERICANO DE DESARROLLO;Cómo lograr sistemas financieros sólidos y seguros en América Latina;1998;
L-3807;"STAKING, Kim B.; SCHULZ, Alison";BANCO INTERAMERICANO DE DESARROLLO;Información financiera: clave para el desarrollo de mercados financieros;1999;
L-3808;ROMERO, Carlos;;Introducción a la financiación empresarial y al análisis bursatil;1996;
L-3809;SUAREZ SUAREZ, Andrés;;Desiciones óptimas de inversión y financiación en la empresa;1996;
L-380;MACHICADO SARAVIA, Flavio;ILDIS;Estudio diagnóstico debate. Las finanzas públicas y la inversión;1987;
L-3810;VELA QUIROGA, Gabriel;;Contabilidad de seguros: aspectos económicos, financieros y contables del seguro privado en Bolivia;2002;
L-3811;"WAJCHMAN, Mauricio; WAJCHMAN, Bernardo";;<El> proceso decisional y los costos;1997;
L-3812;"ESQUEDA NASSAR,  Arlette; FLORES CEDILLO, Tania";;Elementos básicos de mercadotecnia. Incluye CD;2000;
L-3813;CASTRO ARDON, José Enrique;;<El> gerente de marca: mucho más que un mercadólogo, un administrador o un agente de relaciones públicas, el gerente de marca es un visionario del producto y de las ventas;2001;
L-3814;GIANNONI, Gerardo;BANCO INTERAMERICANO DE DESARROLLO;Marketing preferencial: la eficacia de las promociones por e-mail;2001;
L-3815;RICO, Ruben Roberto;;Total customer satisfaction: Satisfacción y deleite total de los clientes;1998;
L-3816;RIVERO SUBIRANA, J. Elizalde;;Mercadotecnia para ejecutivos de empresas;2000;
L-3817;FRYE, Robert W.;;Estrategias básicas de mercadotecnia;1999;
L-3818;HULL, John C.;;Introducción a los mercados de futuros y opciones;1996;
L-3819;ORTEGA MARTINEZ, Enrique;;Diez temas master de marketing;1993;
L-381;MACHICADO SARAVIA, Carlos;ILDIS;Estudio diagnóstico debate. La distribución del ingreso en Bolivia;1987;
L-3820;MC NEAL, James U.;;Marketing de productos para niños: manual sobre comercialización dirigida a los niños;1993;
L-3821;JEFKINS, Frank;;Comercialización actual;1997;
L-3822;HOLOVIAK, Stephen J.;;Management: la regla de oro;1994;
L-3823;MERRILL, Harwood F.;;Clásicos en administración;1988;
L-3824;GRADOS, Jaime A.;;Capacitación y desarrollo de personal;1999;
L-3825;"HOOD, Christopher; JACKSON, Michael";COLEGIO NACIONAL DE CIENCIAS POLITICAS Y ADMINISTRACION PUBLICA;<La> argumentación administrativa;1991;
L-3826;HEADY, Ferrel;COLEGIO NACIONAL DE CIENCIAS POLITICAS Y ADMINISTRACION PUBLICA;Administración pública: una perspectiva comparada;2000;
L-3827;"KAUFMANN, Arnold; GIL ALUJA, Jaume";;Técnicas operativas de gestión para el tratamiento de la incertidumbre;1987;
L-3828;HANDY, Charles;;<La> edad de la insensatez: futurología de la administración;1993;
L-3829;ANDER-EGG, Ezequiel;;¿Cómo hacer reuniones eficaces?;1998;
L-382;BALDIVIA, JoséSAINZ, Leticia;ILDIS;Guía para elecciones municipales;1987;
L-3830;MURDICK, Robert G.;;Sistemas de información administrativa;1988;
L-3831;LORINO, Philippe;;<El> control de gestión estratégico: la gestión por actividades;1995;
L-3832;RICO, Luis Fernando;;Cuánto vale mi empresa: Valoración de una mediana empresa no cotizada en Bolsa;2003;
L-3833;CASTANYER FIGUERAS, Francesc;;<La> capacitación permanente en la empresa;1999;
L-3834;"RUIZ GONZALEZ, Manuel; MANDADO PEREZ, Enrique";;<La> innovación tecnológica y su gestión;1989;
L-3835;CARRIO FIORE, Jaime;;Marketing estratégico: referencia a productos industriales;1992;
L-3836;PALOM IZQUIERDO, Francisco Javier;;Management: la tecnología punta del mando;1989;
L-3837;"CASTRESANA, José I.; BLANCO, Adolfo";;<El> directivo impulsor de la innovación;1990;
L-3838;"HICKMAN, Craig R.; SILVA, Michael A.";;Cómo organizar hoy empresas con futuro;1992;
L-3839;"ROSEN, Robert H.; BERGER, Lisa";;Cómo lograr una empresa sana: un nuevo paradigma para desarrollar la gente, la productividad y los beneficios;1993;
L-383;;ILDIS;Procesos inflacionarios en Perú y Bolivia;1989;
L-3840;DE GEUS, Arie;;<La> empresa viviente: hábitos para sobrevivir en un ambiente de negocios turbulento;1997;
L-3841;ECHEVERRIA, Rafael;;<La> empresa emergente, la confianza y los desafíos de la transformación;2000;
L-3842;MONFORTE, Manfredo;;<Las> operaciones en la estrategia empresarial;1998;
L-3843;"BLANCO RAMOS, Francisco; FERRANDO BOLADO, Máximo";;Dirección financiera de la empresa: inversiones;1996;
L-3844;BURKE, John P.;;Responsabilidad burocrática;1994;
L-3845;LOSADA I. MARRODAN, Carlos;BANCO INTERAMERICANO DE DESARROLLO;¿De burócratas a gerentes?: las ciencias de la gestión aplicadas a la administración del Estado;1999;
L-3846;"HAMPTON, David R.; SUMMER, Charles E.; WEBBER, Ross A.";;Manual de desarrollo de recursos humanos;1999;
L-3847;ULRICH, Dave;;Recursos humanos: Champions: cómo pueden los recursos humanos cobrar valor y producir resultados;1997;
L-3848;"PEREZ GOROSTEGUI, Eduardo; RODRIGO MOYA, Beatriz";;<La> dirección de recursos humanos;1997;
L-3849;;GRUPO DESCARTES;<El> modo proyecto: cómo tomar decisiones estratégicas mediante la informática;1995;
L-384;;ILDIS, CERES;Debate Regional. Localización industrial en Cochabamba;1995;
L-3850;SLYWOTZKY, Adrian J.;;<La> migración del valor de la empresa: cómo evitar la desvalorización de la empresa anticipándose a las estrategias de la competencia;1997;
L-3851;SONEYRA, Eloy;;Autodiagnóstico de la gestión empresaria: guía objetiva para la mejora contínua;1996;
L-3852;IVAÑEZ GIMENO, josé María;;<La> gestión del diseño en la empresa;2000;
L-3853;"ESCORSA CASTELLS, Pere; VALLS PASOLA, Jaume";;Tecnología e innovación en la empresa: dirección y gestión;2001;
L-3854;"OLLE, Montserrat; PLANELLAS, Marcel; MOLINA, Jordi; TORRES, Diego; ALFONSO, Joan M.; HUSENMAN, Samuel; SEPULVEDA, Pedro; MUR, Ignacio";;<El> plan de empresa: cómo planificar la creación de una empresa (Incluye disquete);1998;
L-3855;GABIÑA, Juanjo;;<El> futuro revisitado: la reflexión prospectiva como arma de estrategia y decisión;1996;
L-3856;BARCELO, Carlos;;<Un> enfoque práctico de la gestión de ventas: problemas, causas y soluciones;1995;
L-3857;ARBONES MALISANI, Eduardo A.;;<La> empresa eficiente: aprovisionamiento, producción y distribución física;1999;
L-3858;FEA, Ugo;;Hacia un nuevo concepto de empresa occidental: la empresa dinámica en calidad total;1995;
L-3859;"MEREDITH, Geoffrey G.; NELSON, Robert E.; NECK, Philip A.";OIT;Lo que todo pequeño empresario debe saber;1995;
L-385;;ILDIS;Foro económico. El crecimiento demográfico en Santa Cruz;1987;
L-3860;COSTA, Ramón;;<La> empresa hacia el año 2010: guía práctica de supervivencia empresarial;1996;
L-3861;CUATRECASAS ARBOS, Lluís;;Gestión económico-financiera de la empresa;2000;
L-3862;OBERT, Robert;;<Las> previsiones en la empresa: planes de financiación, presupuestos y tesorería;1995;
L-3863;CORNELLA, Alfons;;Información digital para la empresa: una introducción a los servicios de información electrónica;1997;
L-3864;"MACAZAGA, Jorge; PASCUAL, Alejandra";;Organización basada en procesos;2003;
L-3865;MARIO NAVARRETE, Hernando;;Gerencia de procesos;2001;
L-3866;MAYNE, Lynette;;Dirigir desde la cima: elementos de los sistemas de información ejecutivos para la Alta Dirección;1995;
L-3867;MOTT, Graham;;Contabilidad de gestión para tomar decisiones;1996;
L-3868;AGUILAR, Michael;;<El> vendedor de élite;1995;
L-3869;JIMENEZ, Juan Carlos;;Negocios.com: cómo construir marcas, hacer mercadeo y diseño interactivo en Internet;2001;
L-386;;ILDIS;Foro económico. Situación y perspectivas de la industria;1901;
L-3870;MAUBERT, Jean-Francois;;Negocios: las claves para triunfar;1995;
L-3871;VERCHER BELLVER, Salvador;;<El> plan de gestión: un método integral para su elaboración y control;2001;
L-3872;;OIT;Mejore su negocios: manual;1995;
L-3873;;OIT;Mejore su negocios: cuaderno de trabajo;1995;
L-3874;"THURMAN, J. E.; LOUZINE, A. E.; KOGI, K.";OIT;Mayor productividad y un mejor lugar de trabajo: ideas prácticas para propietarios y gerentes de pequeñas y medianas empresas industriales;2000;
L-3875;FONTAINE, Ernesto R.;;Teoría de  los precios;1999;
L-3876;VECIANA VERGES, José María;;Función directiva;2002;
L-3877;"MAS, Jordi; RAMIO, Carles";;<La> auditoría operativa en la práctica: técnicas de mejora organizativa;1998;
L-3878;"GROUARD, Benoit; MESTON, Francis";;Reingeniería del cambio: diez claves para transformar la empresa;1996;
L-3879;FESSARD, Jean-Luc;;<El> tiempo del servicio: el reto del tiempo en las actividades de servicio;1996;
L-387;;ILDIS;Foro Político. Nuevos parámetros en la política boliviana;1988;
L-3880;TASSINARI, Robert;;<El> producto adecuado: práctica del análisis funcional;1995;
L-3881;LECLERCQ, Xavier;;<La> auditoría del servicio de compras;1995;
L-3882;CATALDO PIZARRO, Juan;;Gestión del presupuesto ABC: su integración con la calidad y las normas ISO 9000;1997;
L-3883;"CARRASCAL, Ursicino; GONZALEZ, Yolanda; RODRIGUEZ, Beatriz";;Análisis econométrico con EViews  (Incluye disquete);2001;
L-3884;DERRIEN, Yann;;Técnicas de la auditoría informática;1995;
L-3885;RIVERA SALCEDO, Jorge;;Matemáticas financieras;2002;
L-3886;CAHUC, Pierre;;<La> nueva microeconomía;1996;
L-3887;ROSENDE R., Francisco;;Teoría macroeconómica: ciclos económicos, crecimiento e inflación;2002;
L-3888;"DOMBOIS, Rainer; PRIES, Ludger";;Relaciones laborales entre mercado y Estado: sendas de transformación en América Latina;2000;
L-3889;ACKERMAN, Mario;GRUPO DE LOS 9;Trabajadores del Estado en Iberoamérica;1998;
L-388;;ILDIS;Foro político. Análisis comparativo de sistemas electorales;1988;
L-3890;CHADI, Mónica;;Redes sociales en el trabajo social;2000;
L-3891;"JARQUIN, Edmundo; CALDERA, Andrés";BID;Programas sociales, pobreza y participación ciudadana;2000;
L-3892;"KLIKSBERG, Bernardo; TOMASSINI, Luciano";"BID; FUNDACION FELIPE HERRERA; UNIVERSIDAD DE MARYLAND; FONDO DE CULTURA ECONOMICA";Capital social y cultura: claves estratégicas para el desarrollo;2000;
L-3893;DUNKERLEY, James;;Studies in the formation of the nation state in Latin America: Estudios para la Formación del Estado Nacional en América Latina;2002;
L-3895;LIPIETZ, Alain;;Espejismos y milagros: problemas de la industrialización en el Tercer Mundo;1992;
L-3896;"ALTENBURG, Tilman; MESSNER, Dirk";;América Latina competitiva: desafíos para la economía, la sociedad y el estado;2002;
L-3897;HARRIS, Laurence;;Teoría monetaria;1993;
L-3898;"MASCAREÑAS PEREZ, Juan; LOPEZ PASCUAL, Joaquín";;Renta fija y fondos de inversión;1997;
L-3899;FOSSATI, Humberto;;Ensayo sobre la moneda neutral (El rol del tiempo en el análisis económico);1969;
L-389;;ILDIS;Foro Político. Medios de comunicación y cultura política;1988;
L-38;;DESCO;Política económica y la democracia en debate;19811211;
L-3900;CHAU, Le;;<La> problemática regional en América Latina;1987;
L-3901;SOROS,  George;;Globalización;2002;
L-3902;"PARDO, María Laura; NOBLIA, María Valentina";;Globalización y nuevas tecnologías;2000;
L-3903;GARCIA CANCLINI, Néstor;;<La> globalización imaginada;2001;
L-3904;"CASTEDO FRANCO, Eliana; MANCILLA, H.C.F.";;<La> aldea global y la modernización de un país subdesarrollado: lo ajeno y lo propio en la transformación de la política y la cultura cotidiana en Bolivia;2000;
L-3905;KROCH, Ernesto;;<El> desafío de la globalización ¿proceso forzoso o gobernable?;2001;
L-3906;RODRIGUEZ OSTRIA, Gustavo;CAMARA DEPARTAMENTAL DE INDUSTRIA;De la colonia a la globalización: historia de la industria cochabambina, siglo XVIII-XX;1998;
L-3907;KLEIN, Naomi;;Vallas y ventanas: despachos desde las trincheras del debate sobre la globalización;2002;
L-3908;HOPENHAYN, Martín;;Ni apocalípticos ni integrados: aventuras de la modernidad en América Latina;1994;
L-3909;ELLIOT, Kimberly Ann;;<La> corrupción en la economía global;2001;
L-390;;ILDIS;Foro Político. Modelos de la democracia;1989;
L-3910;LANGE, Oscar;;Economía política (II);1992;
L-3911;LANGE, Oscar;;Economía política (I);1995;
L-3912;"FRIEDMAN, Milton; FRIEDMAN, Rose";;Libertad de elegir: Hacia un nuevo liberalismo económico;1993;
L-3913;WOLF, Erich R.;;<Las> luchas campesinas del siglo XX;1972;
L-3914;EIBL-EIBESFELDT, Irenaus;;<La> sociedad de la desconfianza: Polémica para un futuro mejor;1996;
L-3915;PRZEWORSKI, Adam;;Capitalismo y socialdemocracia;1985;
L-3916;LORA, Guillermo;;<Las> cuatro internacionales;1986;
L-3917;"LANZARO, Jorge; SCHMITTER, Philippe C.; O´DONNELL, Guillermo; BERINS, Ruth; STEPAN, Alfred";;<El> fin de siglo del corporativismo;1998;
L-3918;BAMBIRRA, Vania;;<El> capitalismo dependiente latinoamericano;1974;
L-3919;POSADA, Francisco;;<Los> orígenes del pensamiento marxista en latinoamérica: Política y cultura en José Carlos Mariategui;1968;
L-391;;ILDIS;Foro Político. Construcción de la representación política;1989;
L-3920;POULANTZAS, Nicos;;Hegemonía y dominación en el Estado moderno;1977;
L-3921;GANDHI, Mahatma;;Mi credo socialista;1977;
L-3922;MARRAMAO, GiacomoDE GIOVANNI, BiagioLUPORINI, CesareBADALONI, NicolaCACCIARI, Massimo;;Teoría marxista de la política;1981;
L-3923;FERRY, Luc;;Filosofía política (I) El derecho: la nueva querella de los antiguos y los modernos;1997;
L-3924;"FERRY, Luc; RENAUT, Alain";;Filosofía política (III) De los derechos del hombre a la idea republicana;1997;
L-3925;"CARDOSO, Fernando Henrique; FALETTO, Enzo";;Dependencia y desarrollo en América Latina;1971;
L-3926;FORRESTER, Viviane;;<El> horror económico;2000;
L-3927;CAMPANELLA, Tommaso;;<La> política;1991;
L-3928;MIRES, Fernando;;Teoría política del nuevo capitalismo o el discurso de la globalización;2000;
L-3929;BALLIVIAN CALDERON, René;;<El> capitalismo en la ideologías económicas contemporáneas: su presente y su destino según el moderno pensamiento económico;s.f.;
L-392;;ILDIS;Foro Político. Contexto internacional y política en Bolivia;1989;
L-3930;SMALL, Peter;;<El> último juego de estrategia;2001;
L-3931;MACFARLANE, Alan;;<La> cultura del capitalismo;1993;
L-3932;BAPTISTA GUMUCIO, Fernando;;Historia del pensamiento económico;1997;
L-3933;RODRIGUEZ BRAUN, Carlos;;Grandes economistas;1997;
L-3934;VAN PARIJS, Philippe;;Libertad real para todos: Qué puede justificar al capitalismo (si hay algo que pueda hacerlo);1996;
L-3935;CAMARGO MARIN, Víctor;;<El> mercado de valores;1998;
L-3936;"JARQUIN, Edmundo; CARRILLO, Fernando";;<La> economía política de la reforma judicial;1997;
L-3937;LABINI, Sylos P.;;<Las> fuerzas del desarrollo y del declive;1988;
L-3938;MESA-LAGO, Carmelo;;Buscando un modelo económico en América Latina ¿Mercado, socialista o mixto? CHile, Cuba y Costa Rica;2002;
L-3939;KALECKI, Michal;;Sobre el capitalismo contemporáneo;1968;
L-393;;ILDIS;Temas de política social. La vivienda;1987;
L-3940;SERENI, Emilio;;Capitalismo y mercado nacional;1980;
L-3941;DOBB, Maurice;;Capitalismo, crecimiento económico y subdesarrollo;1964;
L-3942;LEVINSON, Charles;;Vodka-Cola: la oculta complicidad entre los mundos capitalista y comunista;1979;
L-3943;CALLA ORTEGA, Ricardo;FLACSO-BOLIVIA;"<El> capitalismo de Estado: indagaciones teóricas para el análisis de la crisis del ""socialismo"" del Este";1990;
L-3944;BRAUDEL, Fernand;;<La> dinámica del capitalismo;1993;
L-3945;;QHANTAT-WARA WARA;¿A donde va el capitalismo mundial? apuntes sobre la crisis (Económica en Occidente y en la URSS);1990;
L-3946;VERCHIK, Ana;;Mercado de capitales: testimonio de un mercado emergente;1993;
L-3947;IRIARTE, Gregorio;;Neoliberalismo, post-modernidad, globalización;1998;
L-3948;FONTELA MONTES, Emilio;;<Los> ciclos económicos en la economía moderna;1997;
L-3949;GIANNETTI, Renato;;Crisis económicas: el siglo XIX;1988;
L-394;;UNESCO, JUNAC;Catálogo de publicaciones de organismos de integración y desarrollo de América Latina y el Caribe;1988;
L-3950;MANDEL, Ernest;;Introducción a la teoría económica marxista;1992;
L-3951;LOEBL, Eugen;;Humanomics: Cómo hacer para que la economía esté a nuestro servicio y no nos destruya;1978;
L-3952;PEREZ RAMIREZ, José Luis;;Estado, crisis y teoría económica;1989;
L-3953;MONTENEGRO, Wálter;;Introducción a las doctrinas político económicas;1998;
L-3954;FOXLEY, Alejandro;;Economía política de la transición;1993;
L-3955;"GARCIA LINERA, Alvaro; GUTIERREZ AGUILAR, Raquel; ITURRI SALMON, Jaime; PRADA ALCOREZA, Raúl; SUAREZ, Hugo José; SPEDDING, Alison; VELARDE, Alfonso";;Marxismo: provocaciones heréticas: las armas de la utopía;1996;
L-3956;NUÑEZ ROSALES, José;;<La> estrategia capitalista para combatir las instituciones estatales;1954;
L-3957;RAMOS SANCHEZ, Pablo;;¿Hacia donde va el neoliberalismo?: análisis de la versión 21660;1987;
L-3958;"ROSALES NERI, Norma Angélica; GARCIA PEREZ, Irene Ana Ma.; DELGADO LOPEZ, Enrique";;Geografía económica;2000;
L-3959;KLIKSBERG, Bernardo;"BID; CONGRESO JUDIO LATINOAMERICANO; FCE";<La> lucha contra la pobreza en América Latina: deterioro social de las clases medias y experiencias de las comunidades judías;2000;
L-395;;ILDIS;Temas de Política Social. Políticas alternativas de salud;1986;
L-3960;;"SELA; UNESCO";Una mirada hacia el siglo XXI: Desarrollo, paz y cultura en América Latina y el Caribe;1995;
L-3961;"BULMER-THOMAS, Víctor; DUNKERLEY, James";;The United States and Latin America: The Wew Agenda: Estados Unidos y América Latina: la nueva agenda;1999;
L-3962;STEPHENSON, Marcia;;Gender and modernity in andean Bolivia: Género y modernidad en los andes de Bolivia;1955;
L-3963;VALENTINE, Charles;;<La> cultura de la pobreza: crítica y contrapropuestas;1970;
L-3964;BURKE, Melvin;;Estudios críticos del neoliberalismo;2001;
L-3965;TORRICO, Gonzalo;;A Challenge for the twenty first century: Un cambio para comienzos del siglo veinte;1993;
L-3966;GIRONDA, Eusebio;;Sociedad, estado y globalización;1998;
L-3967;"ORTEGO, Jesús, ESCOBAR, Federico; DOMINGUEZ, Idoia; JIMENEZ, Mónica; CAMACHO, Natalia";;Manual para el facilitador en resoluciones de conflictos;1999;
L-3968;BOBBIO, Norberto;;Igualdad y libertad;1993;
L-3969;BOBBIO, Norberto;;<La> teoría de las formas de gobierno en la historia del pensamiento político;2000;
L-396;;ILDIS;Temas de Política Social. Política de medicamentos;1988;
L-3970;BOBBIO, Norberto;;<La> duda y la elección: intelectuales y poder en la sociedad contemporánea;1998;
L-3971;HEILBRONER, Robert;;Visiones del futuro: el pasado lejano, el ayer, el hoy y el mañana;1996;
L-3972;"GELLES, Richard J.; LEVINE, Ann";;Sociología con aplicaciones en países de habla hispana;2000;
L-3973;COHEN, Bruce J.;;Introducción a la sociología ;1992;
L-3974;"EMBER, Carol R.; EMBER, Melvin";;Antropología cultural;1997;
L-3975;"MENDOZA, Manuel G.; NAPOLI, Vince";;Introducción a las ciencias sociales;1990;
L-3976;"JAVALOY, Federico; RODRIGUEZ, Alvaro; ESPELT, Esteve";;Comportamiento colectivo y movimientos sociales;2001;
L-3977;BOURDIEU, Pierre;;<El> campo político;2001;
L-3978;CASSIRER, Ernst;;<El> mito del Estado;1997;
L-3979;HELLER, Hermann;;Teoría del Estado;1997;
L-397;;ILDIS, CERES;"Debate regional. El Chapare actual; sindicatos y ONGs en la región";1990;
L-3980;ARISTOTELES;;<La> política;1998;
L-3981;"TOFFLER, Alvin; TOFFLER, Heidi";;<La> creación de una nueva civilización: la política de la tercer ola;1996;
L-3982;BAGU, Sergio;;Catástrofe política y teoría social;1997;
L-3983;ANDERSON, Perry;;<Los> orígenes de la postmodernidad;1998;
L-3984;FERNANDEZ DIAZ, AndrésPAREJO GAMIR, José AlbertoRODRIGUEZ SAIZ, Luís;;Política económica;2002;
L-3985;MARIAS, Julian;;<La> estructura social;1993;
L-3986;ALARCON, Gilmer;;Análisis del discurso: teoría, comunicación, semiología, política;1998;
L-3987;"CACERES C., Leticia; OBLITAS B., Beatriz, PARRA P., Lucila";;<La> entrevista en trabajo social;2000;
L-3988;ANDER-EGG, Ezequiel;;Introducción al trabajo social;1996;
L-3989;SEN, Amartya K.;ILDIS;<La> libertad individual como compromiso social;2003;
L-398;;ILDIS;Debate regional. La identidad cultural del cruceño;1990;
L-3990;JACOME, FrancineSERBIN, Andrés;"INVESP; CRIES";Sociedad civil e integración regional en el gran Caribe;1998;
L-3991;BAUMAN, Zygmunt;;<La> sociedad individualizada;2001;
L-3992;BRESSER PEREIRA, Luiz Carlos;;<Las> reformas económicas en las nuevas democracias: un enfoque socialdemócrata;1995;
L-3993;ELIAS, Norbert;;Sociología fundamental;1999;
L-3994;GIDDENS, Anthony;;Política y sociología en Max Weber;1972;
L-3995;DOWBOR, Ladislau;;<La> reproducción social;1999;
L-3996;WEBER, Max;;¿Qué es la burocracia?;s.f.;
L-3997;"PUGA, Cristina; PESCHARD, Jacqueline; CASTRO, Teresa";;Hacia la sociología;1999;
L-3998;;ACEVEDO DELOITTE Y TOUCHE;Boletín informativo;2004;
L-3999;POPPER, Karl R.;;<La> sociedad abierta y sus enemigos;2000;
L-399;;ILDIS, CERES;Debate regional. Conceptos y actitudes de las élites regionales (2 ejs.);1991;
L-39;LASERNA, Roberto;CERES;Espacio y sociedad regional (constitución y desarrollo del mercado interno en Cochabamba;19840108;
L-4000;"POWEL, Walter W.; DIMAGGIO, Paul J.";;<El> nuevo institucionalismo en el análisis organizacional;1999;
L-4001;MARIAS, Julian;;Entre dos siglos;2002;
L-4002;SUSSER, Ida;;<La> sociología urbana de Manuel Castells;2001;
L-4003;GARCIA FERRANDO, Manuel;;Socioestadística: introducción a la estadística en sociología;1999;
L-4004;DE LA GARZA TOLEDO, Enrique;;Tratado latinoamericano de sociología del trabajo;2000;
L-4005;RITZER, George;;Teoría sociológica clásica;2001;
L-4006;GIDDENS, Anthony;;Sociología;2001;
L-4007;"CALHOUN, Craig; LIGHT, Donald; KELLER, Suzanne";;Sociología;2000;
L-4008;WEBER, Max;;Economía y sociedad;1999;
L-4009;ARRIGHI, GiovanniHOPKINS, Terence K.WALLERSTEIN, Immanuel;;Movimientos antisistémicos;1999;
L-400;;ILDIS;Temas laborales. Democracia sindical una visión desde las bases;1988;
L-4010;RUIZ GONZALEZ, Raúl;;Economía, sociedad, política;2003;
L-4011;"TOMMASI, Mariano; IERULLI, Kathryn";;Economía y sociedad;2000;
L-4012;HABERMAS, Jurgen;;Más allá del Estado nacional;2000;
L-4013;REINHARD, Wolfgang;;<Las> élites del poder y la construcción del Estado;1997;
L-4014;ROUSSEAU, Jean-Jacques;;<El> contrato social;2001;
L-4015;"HINKLE, Lawrence E.; MONTIEL, Peter J.";;Exchange rate misalignment: concepts and measurement for developing countries: Cambios estimados : Conceptos y mediciones para países desarrollados;1999;
L-4016;;"CEDIB; ILDIS";100 documentos: coca - cronología: Bolivia: 1986-1992;1992;
L-4017;;BOLIVIA: PRESIDENCIA DE LA REPUBLICA;Por la dignidad: Estrategia boliviana de la lucha contra el narcotráfico;1998;
L-4018;SMITH, Peter H.;;<El> combate a las drogas en América;1993;
L-4019;;"CERID; FONDO FIDUCIARIO MANUEL PEREZ-GUERRERO PARA LA COOPERACION ECONOMICA Y TECNICA ENTRE PAISES EN DESARROLLO";<El> impacto del capital financiero del narcotráfico en el desarrollo de América Latina (Simposio internacional);1991;
L-401;COLE, Julio;IISUMSS;Como hacer referencias en un trabajo escrito;1979;
L-4020;GAMARRA, Eduardo A.;ILDIS;Entre la droga y la democracia;1994;
L-4021;PALZA MEDINA, Javier;;<La> coca en la construcción nacional;1991;
L-4022;CARTER, William E.;;Ensayos científicos sobre la coca;1996;
L-4023;WEATHERFORD, Jack M.;;Narcóticos en Bolivia y los Estados Unidos;1987;
L-4024;;SEAMOS;Marketing social: aproximaciones teóricas desde la práctica;1995;
L-4025;ZAMBRANA ROMAN, Jebner;;Guerra antidrogas: Entre halcones y palomas;1996;
L-4026;INCHAURRAGA, Silvia;;Drogas y políticas públicas: el modelo de reducción de daños;1999;
L-4027;;"CEDLA; ILDIS; CSUTCB; BOLIVIA: CAMARA DE DIPUTADOS";Seminario: comunidad campesina y legislación agraria 1990;1990;
L-4028;LAURE, Joseph;;<Los> campesinos y la crisis;1988;
L-4029;;CEDLA;Chuquisaca: tierra y pobreza campesina ;s.f.;
L-402;;ILDIS;Debate laboral. Flexibilización de las normas laborales en Bolivia;1991;
L-4030;CERNEA, Michael M.;;Primero la gente: variables sociológicas en el desarrollo rural;1995;
L-4031;"PACHECO BALANZA, Pablo; ORMACHEA SAAVEDRA, Enrique";CEDLA;Campesinos, patrones y obreros agrícolas: un aproximación a las tendencias del empleo y los ingresos rurales en Bolivia;2000;
L-4032;URIOSTE FERNANDEZ DE CORDOVA, Miguel;CEDLA;Segunda Reforma agraria: campesinos, tierra y educación popular;1988;
L-4033;ARDAYA, Gloria;FLACSO;Mujer joven: discriminación y participación social (aproximación al caso boliviano);1985;
L-4034;;"MINISTERIO DE DESARROLLO HUMANO; CENDOP";Pobreza, necesidades básicas y calidad de vida: bibliografía;1994;
L-4035;;"PNUD; CIDES-UMSA";Desarrollo humano y pobreza en las provincias Caranavi y Aroma;1997;
L-4036;;"FUNDACION SAN GABRIEL; UNICEF";Mujer, participación social y política;1989;
L-4037;;"THE PATHFINDER FUND; CONAPO";Mujer, trabajo y reproducción humana en tres contextos urbanos de Bolivia 1986-1987;1989;
